fname,label,manually_verified,freesound_id,license
54feec8f.wav,Applause,0,166436,Attribution
5503dbff.wav,Trumpet,0,170255,Creative Commons 0
5503e01b.wav,Keys_jangling,1,156183,Creative Commons 0
55040d8b.wav,Burping_or_eructation,0,216226,Attribution
5506629f.wav,Clarinet,1,356474,Attribution
55087d4d.wav,Oboe,1,355240,Attribution
550cae67.wav,Shatter,0,171996,Creative Commons 0
5531a5e1.wav,Bass_drum,0,41167,Attribution
553245ef.wav,Electric_piano,1,61832,Attribution
5543631a.wav,Saxophone,1,119307,Attribution
5554d95d.wav,Cowbell,1,90992,Creative Commons 0
5558f338.wav,Fireworks,0,109750,Creative Commons 0
5560b9c0.wav,Tearing,0,261237,Attribution
557040c2.wav,Snare_drum,0,3152,Attribution
557475a3.wav,Tearing,0,163593,Attribution
55783841.wav,Knock,0,26188,Attribution
55822aae.wav,Acoustic_guitar,1,251848,Attribution
558a13e0.wav,Clarinet,1,248569,Attribution
55a17a88.wav,Writing,0,221727,Attribution
55a23759.wav,Saxophone,0,121438,Attribution
55aed1da.wav,Fireworks,1,46328,Attribution
55b2828b.wav,Acoustic_guitar,0,14566,Attribution
55b7b452.wav,Meow,1,131201,Attribution
55b7d572.wav,Double_bass,0,383564,Creative Commons 0
55c288a5.wav,Oboe,0,373641,Creative Commons 0
55cb6a50.wav,Fireworks,0,40968,Attribution
55d52a69.wav,Flute,1,246671,Attribution
55d60bf0.wav,Trumpet,1,357744,Attribution
55dd4e7c.wav,Bus,1,107273,Creative Commons 0
55df0089.wav,Writing,0,377839,Attribution
5604d72a.wav,Clarinet,0,248392,Attribution
560506a1.wav,Gunshot_or_gunfire,1,187702,Attribution
560977ac.wav,Saxophone,0,121430,Attribution
561d33d3.wav,Snare_drum,1,35674,Attribution
56220972.wav,Snare_drum,0,158641,Creative Commons 0
56238daa.wav,Double_bass,0,383609,Creative Commons 0
56239e18.wav,Trumpet,0,11061,Creative Commons 0
56271e97.wav,Scissors,0,256679,Attribution
562d93f5.wav,Flute,1,354965,Attribution
562fed68.wav,Double_bass,0,383579,Creative Commons 0
5631d60b.wav,Applause,0,189840,Attribution
5638382e.wav,Knock,0,209223,Creative Commons 0
563f830b.wav,Bass_drum,0,91257,Creative Commons 0
5644beb8.wav,Bass_drum,1,87550,Creative Commons 0
564c018d.wav,Writing,0,244925,Creative Commons 0
564ebce0.wav,Fart,0,85359,Attribution
564f1a49.wav,Gong,1,222233,Attribution
5655bcc9.wav,Bass_drum,0,264284,Attribution
565d4f5a.wav,Glockenspiel,1,146100,Attribution
565f3ee2.wav,Bass_drum,1,91041,Creative Commons 0
5666db3a.wav,Gong,0,222204,Attribution
5668c2ab.wav,Gong,1,63643,Creative Commons 0
566f0926.wav,Gunshot_or_gunfire,1,169775,Creative Commons 0
567ac6d1.wav,Cough,0,343912,Creative Commons 0
5683f1b4.wav,Laughter,0,72836,Attribution
5689818f.wav,Cello,1,357993,Attribution
568f4336.wav,Chime,1,131013,Attribution
569ee690.wav,Bark,1,332457,Creative Commons 0
56a26f01.wav,Shatter,0,160759,Attribution
56a59a85.wav,Fart,0,101875,Creative Commons 0
56aacb80.wav,Laughter,0,294425,Attribution
56b18d22.wav,Bass_drum,0,41166,Attribution
56bfa515.wav,Tearing,1,275522,Creative Commons 0
56c1363d.wav,Hi-hat,0,191490,Creative Commons 0
56c736b2.wav,Snare_drum,0,114029,Attribution
56db9231.wav,Cough,0,254467,Attribution
56de1a6e.wav,Bass_drum,0,83768,Creative Commons 0
56e0b337.wav,Drawer_open_or_close,0,334977,Creative Commons 0
56e79c6f.wav,Violin_or_fiddle,1,356257,Attribution
56ebef58.wav,Computer_keyboard,1,233020,Attribution
56f6f5a1.wav,Knock,1,193873,Creative Commons 0
56fa2d08.wav,Burping_or_eructation,1,340869,Attribution
5700bda7.wav,Electric_piano,0,105406,Creative Commons 0
57024106.wav,Shatter,0,204133,Attribution
570742db.wav,Cello,1,246804,Attribution
